"id","gender","birthday","age","abonoment_type","visit_per_week","attend_group_lesson","avg_time_check_in","avg_time_check_out","avg_time_in_gym","drink_abo","personal_training","uses_sauna","name_personal_trainer","lesson","drink","day_of_week"
9,"Male","1978-07-28 00:00:00","46.0","Premium","3.0",1,"09:45:00","11:17:00","92.0",1,1,"","Mike","","lemon","Sun"
9,"Male","1978-07-28 00:00:00","46.0","Premium","3.0",1,"09:45:00","11:17:00","92.0",1,1,"","Mike","","","Thu"
10,"Female","2000-05-06 00:00:00","24.0","Premium","1.0","","13:05:00","15:29:00","144.0","",1,1,"Jeffrey","","","Mon"
11,"Male","1983-07-11 00:00:00","41.0","Standard","1.0","","13:50:00","14:26:00","36.0","",1,"","Hanna","","","Fri"
12,"Male","1997-09-19 00:00:00","27.0","Premium","3.0",1,"10:12:00","10:45:00","33.0",1,1,1,"Mike","Pilates","passion_fruit","Fri"
12,"Male","1997-09-19 00:00:00","27.0","Premium","3.0",1,"10:12:00","10:45:00","33.0",1,1,1,"Mike","Zumba","","Thu"
12,"Male","1997-09-19 00:00:00","27.0","Premium","3.0",1,"10:12:00","10:45:00","33.0",1,1,1,"Mike","XCore","","Wed"
13,"Female","1994-04-22 00:00:00","30.0","Standard","2.0",1,"17:04:00","19:42:00","158.0",1,"",1,"","XCore","passion_fruit","Sun"
13,"Female","1994-04-22 00:00:00","30.0","Standard","2.0",1,"17:04:00","19:42:00","158.0",1,"",1,"","HIT","","Wed"
13,"Female","1994-04-22 00:00:00","30.0","Standard","2.0",1,"17:04:00","19:42:00","158.0",1,"",1,"","Running","",""
14,"Female","1989-03-21 00:00:00","35.0","Premium","3.0","","19:50:00","20:51:00","61.0",1,"","","","","black_currant","Mon"
14,"Female","1989-03-21 00:00:00","35.0","Premium","3.0","","19:50:00","20:51:00","61.0",1,"","","","","","Tue"
14,"Female","1989-03-21 00:00:00","35.0","Premium","3.0","","19:50:00","20:51:00","61.0",1,"","","","","","Wed"
15,"Female","1989-10-01 00:00:00","35.0","Premium","1.0","","20:12:00","22:37:00","145.0",1,1,"","Mike","","orange","Sat"
15,"Female","1989-10-01 00:00:00","35.0","Premium","1.0","","20:12:00","22:37:00","145.0",1,1,"","Mike","","black_currant",""
16,"Female","1987-12-20 00:00:00","36.0","Standard","4.0",1,"17:28:00","18:29:00","61.0","","","","","Spinning","","Mon"
16,"Female","1987-12-20 00:00:00","36.0","Standard","4.0",1,"17:28:00","18:29:00","61.0","","","","","Zumba","","Thu"
16,"Female","1987-12-20 00:00:00","36.0","Standard","4.0",1,"17:28:00","18:29:00","61.0","","","","","XCore","","Tue"
16,"Female","1987-12-20 00:00:00","36.0","Standard","4.0",1,"17:28:00","18:29:00","61.0","","","","","","","Wed"
17,"Male","1986-12-17 00:00:00","37.0","Premium","3.0","","09:25:00","12:06:00","161.0","",1,1,"Jeffrey","","","Fri"
17,"Male","1986-12-17 00:00:00","37.0","Premium","3.0","","09:25:00","12:06:00","161.0","",1,1,"Jeffrey","","","Sat"
17,"Male","1986-12-17 00:00:00","37.0","Premium","3.0","","09:25:00","12:06:00","161.0","",1,1,"Jeffrey","","","Sun"
18,"Female","2011-04-30 00:00:00","13.0","Standard","3.0","","16:54:00","18:53:00","119.0","",1,1,"Mike","","","Sat"
18,"Female","2011-04-30 00:00:00","13.0","Standard","3.0","","16:54:00","18:53:00","119.0","",1,1,"Mike","","","Thu"
18,"Female","2011-04-30 00:00:00","13.0","Standard","3.0","","16:54:00","18:53:00","119.0","",1,1,"Mike","","","Tue"
19,"Female","1986-05-29 00:00:00","38.0","Standard","1.0",1,"10:01:00","12:48:00","167.0",1,1,1,"Hanna","Pilates","orange","Tue"
20,"Male","1991-09-13 00:00:00","33.0","Premium","2.0",1,"13:55:00","16:24:00","149.0","","","","","BodyPump","","Sat"
20,"Male","1991-09-13 00:00:00","33.0","Premium","2.0",1,"13:55:00","16:24:00","149.0","","","","","Zumba","","Wed"
20,"Male","1991-09-13 00:00:00","33.0","Premium","2.0",1,"13:55:00","16:24:00","149.0","","","","","Pilates","",""
21,"Female","1997-12-31 00:00:00","26.0","Premium","2.0","","08:19:00","10:45:00","146.0","",1,"","Hanna","","","Fri"
21,"Female","1997-12-31 00:00:00","26.0","Premium","2.0","","08:19:00","10:45:00","146.0","",1,"","Hanna","","","Mon"
22,"Male","1997-10-29 00:00:00","26.0","Premium","3.0",1,"15:06:00","17:40:00","154.0",1,"",1,"","Yoga","lemon","Fri"
22,"Male","1997-10-29 00:00:00","26.0","Premium","3.0",1,"15:06:00","17:40:00","154.0",1,"",1,"","BodyBalance","","Mon"
22,"Male","1997-10-29 00:00:00","26.0","Premium","3.0",1,"15:06:00","17:40:00","154.0",1,"",1,"","LesMiles","","Sat"
23,"Female","2010-10-22 00:00:00","13.0","Standard","2.0",1,"20:56:00","23:36:00","160.0",1,1,"","Mike","HIT","passion_fruit","Mon"
23,"Female","2010-10-22 00:00:00","13.0","Standard","2.0",1,"20:56:00","23:36:00","160.0",1,1,"","Mike","","orange","Tue"
24,"Male","2010-01-24 00:00:00","14.0","Premium","3.0","","14:34:00","16:33:00","119.0",1,1,1,"Jeffrey","","lemon","Sat"
24,"Male","2010-01-24 00:00:00","14.0","Premium","3.0","","14:34:00","16:33:00","119.0",1,1,1,"Jeffrey","","coconut_pineapple","Tue"
24,"Male","2010-01-24 00:00:00","14.0","Premium","3.0","","14:34:00","16:33:00","119.0",1,1,1,"Jeffrey","","","Wed"
25,"Female","2008-10-04 00:00:00","16.0","Premium","1.0","","08:42:00","10:34:00","112.0","","","","","","","Fri"
26,"Male","1989-06-17 00:00:00","35.0","Standard","1.0",1,"13:12:00","14:54:00","102.0",1,1,"","Chantal","BodyBalance","coconut_pineapple","Fri"
26,"Male","1989-06-17 00:00:00","35.0","Standard","1.0",1,"13:12:00","14:54:00","102.0",1,1,"","Chantal","Zumba","",""
26,"Male","1989-06-17 00:00:00","35.0","Standard","1.0",1,"13:12:00","14:54:00","102.0",1,1,"","Chantal","Yoga","",""
27,"Male","2005-03-31 00:00:00","19.0","Premium","3.0",1,"15:01:00","16:59:00","118.0",1,"","","","Zumba","berry_boost","Fri"
27,"Male","2005-03-31 00:00:00","19.0","Premium","3.0",1,"15:01:00","16:59:00","118.0",1,"","","","","passion_fruit","Sun"
27,"Male","2005-03-31 00:00:00","19.0","Premium","3.0",1,"15:01:00","16:59:00","118.0",1,"","","","","","Wed"
28,"Male","1992-04-10 00:00:00","32.0","Standard","5.0",1,"19:41:00","21:35:00","114.0",1,1,"","Chantal","BodyBalance","berry_boost","Fri"
28,"Male","1992-04-10 00:00:00","32.0","Standard","5.0",1,"19:41:00","21:35:00","114.0",1,1,"","Chantal","Pilates","","Sat"
28,"Male","1992-04-10 00:00:00","32.0","Standard","5.0",1,"19:41:00","21:35:00","114.0",1,1,"","Chantal","Running","","Sun"
28,"Male","1992-04-10 00:00:00","32.0","Standard","5.0",1,"19:41:00","21:35:00","114.0",1,1,"","Chantal","","","Tue"
28,"Male","1992-04-10 00:00:00","32.0","Standard","5.0",1,"19:41:00","21:35:00","114.0",1,1,"","Chantal","","","Wed"
29,"Female","1997-01-21 00:00:00","27.0","Premium","1.0","","11:25:00","12:56:00","91.0",1,"",1,"","","orange","Wed"
30,"Female","2002-11-04 00:00:00","21.0","Premium","3.0",1,"20:15:00","21:36:00","81.0",1,"",1,"","Spinning","orange","Fri"
30,"Female","2002-11-04 00:00:00","21.0","Premium","3.0",1,"20:15:00","21:36:00","81.0",1,"",1,"","BodyPump","coconut_pineapple","Mon"
30,"Female","2002-11-04 00:00:00","21.0","Premium","3.0",1,"20:15:00","21:36:00","81.0",1,"",1,"","Zumba","","Thu"
31,"Male","1988-03-04 00:00:00","36.0","Premium","3.0","","10:01:00","12:11:00","130.0","",1,1,"Jeffrey","","","Sun"
31,"Male","1988-03-04 00:00:00","36.0","Premium","3.0","","10:01:00","12:11:00","130.0","",1,1,"Jeffrey","","","Thu"
31,"Male","1988-03-04 00:00:00","36.0","Premium","3.0","","10:01:00","12:11:00","130.0","",1,1,"Jeffrey","","","Wed"
32,"Male","2000-03-02 00:00:00","24.0","Standard","5.0","","20:53:00","23:33:00","160.0",1,"","","","","black_currant","Fri"
32,"Male","2000-03-02 00:00:00","24.0","Standard","5.0","","20:53:00","23:33:00","160.0",1,"","","","","lemon","Mon"
32,"Male","2000-03-02 00:00:00","24.0","Standard","5.0","","20:53:00","23:33:00","160.0",1,"","","","","","Sat"
32,"Male","2000-03-02 00:00:00","24.0","Standard","5.0","","20:53:00","23:33:00","160.0",1,"","","","","","Sun"
32,"Male","2000-03-02 00:00:00","24.0","Standard","5.0","","20:53:00","23:33:00","160.0",1,"","","","","","Wed"
33,"Female","1982-02-26 00:00:00","42.0","Premium","3.0",1,"10:23:00","12:01:00","98.0","",1,1,"Chantal","LesMiles","","Sat"
33,"Female","1982-02-26 00:00:00","42.0","Premium","3.0",1,"10:23:00","12:01:00","98.0","",1,1,"Chantal","HIT","","Sun"
33,"Female","1982-02-26 00:00:00","42.0","Premium","3.0",1,"10:23:00","12:01:00","98.0","",1,1,"Chantal","","","Tue"
34,"Female","1976-12-07 00:00:00","47.0","Premium","2.0",1,"14:42:00","16:08:00","86.0","",1,1,"Hanna","XCore","","Mon"
34,"Female","1976-12-07 00:00:00","47.0","Premium","2.0",1,"14:42:00","16:08:00","86.0","",1,1,"Hanna","Running","","Sat"
34,"Female","1976-12-07 00:00:00","47.0","Premium","2.0",1,"14:42:00","16:08:00","86.0","",1,1,"Hanna","BodyBalance","",""
35,"Male","2004-03-06 00:00:00","20.0","Premium","5.0","","18:15:00","20:54:00","159.0","",1,1,"Mike","","","Mon"
35,"Male","2004-03-06 00:00:00","20.0","Premium","5.0","","18:15:00","20:54:00","159.0","",1,1,"Mike","","","Sun"
35,"Male","2004-03-06 00:00:00","20.0","Premium","5.0","","18:15:00","20:54:00","159.0","",1,1,"Mike","","","Thu"
35,"Male","2004-03-06 00:00:00","20.0","Premium","5.0","","18:15:00","20:54:00","159.0","",1,1,"Mike","","","Tue"
35,"Male","2004-03-06 00:00:00","20.0","Premium","5.0","","18:15:00","20:54:00","159.0","",1,1,"Mike","","","Wed"
36,"Male","1990-03-09 00:00:00","34.0","Standard","3.0",1,"13:39:00","16:20:00","161.0",1,"",1,"","XCore","orange","Sat"
36,"Male","1990-03-09 00:00:00","34.0","Standard","3.0",1,"13:39:00","16:20:00","161.0",1,"",1,"","","","Sun"
36,"Male","1990-03-09 00:00:00","34.0","Standard","3.0",1,"13:39:00","16:20:00","161.0",1,"",1,"","","","Tue"
37,"Female","1981-03-18 00:00:00","43.0","Standard","5.0","","09:02:00","10:21:00","79.0","","","","","","","Fri"
37,"Female","1981-03-18 00:00:00","43.0","Standard","5.0","","09:02:00","10:21:00","79.0","","","","","","","Sat"
37,"Female","1981-03-18 00:00:00","43.0","Standard","5.0","","09:02:00","10:21:00","79.0","","","","","","","Sun"
37,"Female","1981-03-18 00:00:00","43.0","Standard","5.0","","09:02:00","10:21:00","79.0","","","","","","","Tue"
37,"Female","1981-03-18 00:00:00","43.0","Standard","5.0","","09:02:00","10:21:00","79.0","","","","","","","Wed"
38,"Female","1983-11-01 00:00:00","40.0","Premium","2.0","","08:39:00","10:37:00","118.0","","","","","","","Sat"
38,"Female","1983-11-01 00:00:00","40.0","Premium","2.0","","08:39:00","10:37:00","118.0","","","","","","","Thu"
39,"Male","1980-07-05 00:00:00","44.0","Premium","1.0","","20:43:00","22:58:00","135.0",1,"","","","","coconut_pineapple","Wed"
39,"Male","1980-07-05 00:00:00","44.0","Premium","1.0","","20:43:00","22:58:00","135.0",1,"","","","","berry_boost",""
40,"Female","2006-01-19 00:00:00","18.0","Premium","2.0",1,"10:26:00","12:13:00","107.0",1,"",1,"","LesMiles","passion_fruit","Mon"
40,"Female","2006-01-19 00:00:00","18.0","Premium","2.0",1,"10:26:00","12:13:00","107.0",1,"",1,"","","black_currant","Tue"
41,"Female","2008-06-11 00:00:00","16.0","Premium","3.0","","16:04:00","17:51:00","107.0",1,1,1,"Hanna","","coconut_pineapple","Mon"
41,"Female","2008-06-11 00:00:00","16.0","Premium","3.0","","16:04:00","17:51:00","107.0",1,1,1,"Hanna","","","Sun"
41,"Female","2008-06-11 00:00:00","16.0","Premium","3.0","","16:04:00","17:51:00","107.0",1,1,1,"Hanna","","","Tue"
42,"Female","1989-07-08 00:00:00","35.0","Standard","1.0","","09:38:00","10:36:00","58.0","","","","","","","Sun"
43,"Female","1995-06-26 00:00:00","29.0","Premium","1.0",1,"10:25:00","12:04:00","99.0",1,1,"","Chantal","BodyBalance","black_currant","Thu"
43,"Female","1995-06-26 00:00:00","29.0","Premium","1.0",1,"10:25:00","12:04:00","99.0",1,1,"","Chantal","","lemon",""
44,"Female","1996-04-05 00:00:00","28.0","Standard","1.0","","11:49:00","14:11:00","142.0",1,1,1,"Hanna","","coconut_pineapple","Sun"
44,"Female","1996-04-05 00:00:00","28.0","Standard","1.0","","11:49:00","14:11:00","142.0",1,1,1,"Hanna","","passion_fruit",""
45,"Male","1976-01-19 00:00:00","48.0","Premium","2.0","","09:57:00","12:35:00","158.0","",1,1,"Hanna","","","Tue"
45,"Male","1976-01-19 00:00:00","48.0","Premium","2.0","","09:57:00","12:35:00","158.0","",1,1,"Hanna","","","Wed"
46,"Female","1981-05-22 00:00:00","43.0","Standard","4.0",1,"18:41:00","21:36:00","175.0","",1,"","Hanna","Spinning","","Fri"
46,"Female","1981-05-22 00:00:00","43.0","Standard","4.0",1,"18:41:00","21:36:00","175.0","",1,"","Hanna","","","Mon"
46,"Female","1981-05-22 00:00:00","43.0","Standard","4.0",1,"18:41:00","21:36:00","175.0","",1,"","Hanna","","","Sat"
46,"Female","1981-05-22 00:00:00","43.0","Standard","4.0",1,"18:41:00","21:36:00","175.0","",1,"","Hanna","","","Tue"
47,"Male","1989-03-04 00:00:00","35.0","Standard","3.0","","15:02:00","16:29:00","87.0","","","","","","","Sun"
47,"Male","1989-03-04 00:00:00","35.0","Standard","3.0","","15:02:00","16:29:00","87.0","","","","","","","Tue"
47,"Male","1989-03-04 00:00:00","35.0","Standard","3.0","","15:02:00","16:29:00","87.0","","","","","","","Wed"
48,"Male","1997-11-15 00:00:00","26.0","Premium","5.0",1,"16:29:00","18:45:00","136.0","",1,1,"Jeffrey","Yoga","","Fri"
48,"Male","1997-11-15 00:00:00","26.0","Premium","5.0",1,"16:29:00","18:45:00","136.0","",1,1,"Jeffrey","","","Mon"
48,"Male","1997-11-15 00:00:00","26.0","Premium","5.0",1,"16:29:00","18:45:00","136.0","",1,1,"Jeffrey","","","Sun"
48,"Male","1997-11-15 00:00:00","26.0","Premium","5.0",1,"16:29:00","18:45:00","136.0","",1,1,"Jeffrey","","","Thu"
48,"Male","1997-11-15 00:00:00","26.0","Premium","5.0",1,"16:29:00","18:45:00","136.0","",1,1,"Jeffrey","","","Tue"
49,"Female","1975-10-23 00:00:00","48.0","Premium","3.0",1,"11:56:00","14:13:00","137.0","",1,1,"Chantal","Yoga","","Fri"
49,"Female","1975-10-23 00:00:00","48.0","Premium","3.0",1,"11:56:00","14:13:00","137.0","",1,1,"Chantal","BodyBalance","","Thu"
49,"Female","1975-10-23 00:00:00","48.0","Premium","3.0",1,"11:56:00","14:13:00","137.0","",1,1,"Chantal","","","Tue"
50,"Female","1979-12-29 00:00:00","44.0","Premium","2.0",1,"08:54:00","11:35:00","161.0",1,"",1,"","BodyPump","black_currant","Sat"
50,"Female","1979-12-29 00:00:00","44.0","Premium","2.0",1,"08:54:00","11:35:00","161.0",1,"",1,"","Zumba","passion_fruit","Tue"
51,"Male","1979-07-17 00:00:00","45.0","Standard","3.0","","09:43:00","11:16:00","93.0",1,"",1,"","","coconut_pineapple","Mon"
51,"Male","1979-07-17 00:00:00","45.0","Standard","3.0","","09:43:00","11:16:00","93.0",1,"",1,"","","passion_fruit","Sun"
51,"Male","1979-07-17 00:00:00","45.0","Standard","3.0","","09:43:00","11:16:00","93.0",1,"",1,"","","","Thu"
52,"Male","1996-04-21 00:00:00","28.0","Premium","2.0",1,"20:58:00","22:20:00","82.0","","",1,"","BodyPump","","Sat"
52,"Male","1996-04-21 00:00:00","28.0","Premium","2.0",1,"20:58:00","22:20:00","82.0","","",1,"","Yoga","","Wed"
53,"Female","2004-07-17 00:00:00","20.0","Premium","2.0",1,"09:26:00","10:35:00","69.0","","","","","BodyBalance","","Sun"
53,"Female","2004-07-17 00:00:00","20.0","Premium","2.0",1,"09:26:00","10:35:00","69.0","","","","","Running","","Thu"
54,"Female","1980-11-27 00:00:00","43.0","Standard","4.0",1,"20:36:00","23:17:00","161.0",1,1,"","Mike","Pilates","orange","Fri"
54,"Female","1980-11-27 00:00:00","43.0","Standard","4.0",1,"20:36:00","23:17:00","161.0",1,1,"","Mike","","berry_boost","Mon"
54,"Female","1980-11-27 00:00:00","43.0","Standard","4.0",1,"20:36:00","23:17:00","161.0",1,1,"","Mike","","","Sat"
54,"Female","1980-11-27 00:00:00","43.0","Standard","4.0",1,"20:36:00","23:17:00","161.0",1,1,"","Mike","","","Thu"
55,"Male","2000-01-04 00:00:00","24.0","Standard","2.0",1,"15:49:00","18:31:00","162.0",1,1,1,"Chantal","Spinning","black_currant","Sun"
55,"Male","2000-01-04 00:00:00","24.0","Standard","2.0",1,"15:49:00","18:31:00","162.0",1,1,1,"Chantal","Kickboxen","","Thu"
55,"Male","2000-01-04 00:00:00","24.0","Standard","2.0",1,"15:49:00","18:31:00","162.0",1,1,1,"Chantal","LesMiles","",""
56,"Male","2002-07-26 00:00:00","22.0","Standard","3.0","","17:13:00","18:24:00","71.0","","",1,"","","","Fri"
56,"Male","2002-07-26 00:00:00","22.0","Standard","3.0","","17:13:00","18:24:00","71.0","","",1,"","","","Sun"
56,"Male","2002-07-26 00:00:00","22.0","Standard","3.0","","17:13:00","18:24:00","71.0","","",1,"","","","Tue"
57,"Female","2001-06-12 00:00:00","23.0","Standard","3.0","","08:36:00","11:18:00","162.0","","","","","","","Sat"
57,"Female","2001-06-12 00:00:00","23.0","Standard","3.0","","08:36:00","11:18:00","162.0","","","","","","","Thu"
57,"Female","2001-06-12 00:00:00","23.0","Standard","3.0","","08:36:00","11:18:00","162.0","","","","","","","Wed"
58,"Male","1977-12-30 00:00:00","46.0","Premium","5.0",1,"12:19:00","12:49:00","30.0","",1,1,"Chantal","BodyBalance","","Fri"
58,"Male","1977-12-30 00:00:00","46.0","Premium","5.0",1,"12:19:00","12:49:00","30.0","",1,1,"Chantal","BodyPump","","Mon"
58,"Male","1977-12-30 00:00:00","46.0","Premium","5.0",1,"12:19:00","12:49:00","30.0","",1,1,"Chantal","","","Sat"
58,"Male","1977-12-30 00:00:00","46.0","Premium","5.0",1,"12:19:00","12:49:00","30.0","",1,1,"Chantal","","","Thu"
58,"Male","1977-12-30 00:00:00","46.0","Premium","5.0",1,"12:19:00","12:49:00","30.0","",1,1,"Chantal","","","Tue"
59,"Male","2007-07-11 00:00:00","17.0","Premium","2.0",1,"10:40:00","12:06:00","86.0","","",1,"","Kickboxen","","Fri"
59,"Male","2007-07-11 00:00:00","17.0","Premium","2.0",1,"10:40:00","12:06:00","86.0","","",1,"","","","Tue"
60,"Female","1988-08-20 00:00:00","36.0","Standard","2.0",1,"19:38:00","21:40:00","122.0",1,1,1,"Chantal","XCore","orange","Sat"
60,"Female","1988-08-20 00:00:00","36.0","Standard","2.0",1,"19:38:00","21:40:00","122.0",1,1,1,"Chantal","Zumba","","Thu"
61,"Female","1977-05-08 00:00:00","47.0","Premium","3.0","","18:30:00","20:17:00","107.0","",1,"","Chantal","","","Mon"
61,"Female","1977-05-08 00:00:00","47.0","Premium","3.0","","18:30:00","20:17:00","107.0","",1,"","Chantal","","","Sun"
61,"Female","1977-05-08 00:00:00","47.0","Premium","3.0","","18:30:00","20:17:00","107.0","",1,"","Chantal","","","Wed"
62,"Female","1995-05-13 00:00:00","29.0","Standard","3.0","","10:28:00","11:36:00","68.0","",1,1,"Chantal","","","Sat"
62,"Female","1995-05-13 00:00:00","29.0","Standard","3.0","","10:28:00","11:36:00","68.0","",1,1,"Chantal","","","Tue"
62,"Female","1995-05-13 00:00:00","29.0","Standard","3.0","","10:28:00","11:36:00","68.0","",1,1,"Chantal","","","Wed"
63,"Male","1994-03-10 00:00:00","30.0","Standard","3.0","","17:22:00","17:57:00","35.0",1,"",1,"","","passion_fruit","Fri"
63,"Male","1994-03-10 00:00:00","30.0","Standard","3.0","","17:22:00","17:57:00","35.0",1,"",1,"","","coconut_pineapple","Sun"
63,"Male","1994-03-10 00:00:00","30.0","Standard","3.0","","17:22:00","17:57:00","35.0",1,"",1,"","","","Thu"
64,"Female","2002-05-16 00:00:00","22.0","Premium","3.0","","10:41:00","11:38:00","57.0",1,1,1,"Hanna","","lemon","Fri"
64,"Female","2002-05-16 00:00:00","22.0","Premium","3.0","","10:41:00","11:38:00","57.0",1,1,1,"Hanna","","berry_boost","Sat"
64,"Female","2002-05-16 00:00:00","22.0","Premium","3.0","","10:41:00","11:38:00","57.0",1,1,1,"Hanna","","","Sun"
65,"Female","1982-11-21 00:00:00","41.0","Standard","2.0","","13:55:00","16:22:00","147.0","","",1,"","","","Sun"
65,"Female","1982-11-21 00:00:00","41.0","Standard","2.0","","13:55:00","16:22:00","147.0","","",1,"","","","Tue"
66,"Female","1979-03-27 00:00:00","45.0","Premium","4.0","","13:06:00","13:54:00","48.0","","",1,"","","","Fri"
66,"Female","1979-03-27 00:00:00","45.0","Premium","4.0","","13:06:00","13:54:00","48.0","","",1,"","","","Thu"
66,"Female","1979-03-27 00:00:00","45.0","Premium","4.0","","13:06:00","13:54:00","48.0","","",1,"","","","Tue"
66,"Female","1979-03-27 00:00:00","45.0","Premium","4.0","","13:06:00","13:54:00","48.0","","",1,"","","","Wed"
67,"Female","2002-04-26 00:00:00","22.0","Premium","1.0",1,"08:18:00","11:08:00","170.0","","","","","Running","","Sun"
68,"Male","2004-07-16 00:00:00","20.0","Standard","5.0",1,"13:04:00","13:37:00","33.0",1,1,1,"Mike","Spinning","berry_boost","Mon"
68,"Male","2004-07-16 00:00:00","20.0","Standard","5.0",1,"13:04:00","13:37:00","33.0",1,1,1,"Mike","","coconut_pineapple","Sat"
68,"Male","2004-07-16 00:00:00","20.0","Standard","5.0",1,"13:04:00","13:37:00","33.0",1,1,1,"Mike","","","Sun"
68,"Male","2004-07-16 00:00:00","20.0","Standard","5.0",1,"13:04:00","13:37:00","33.0",1,1,1,"Mike","","","Thu"
68,"Male","2004-07-16 00:00:00","20.0","Standard","5.0",1,"13:04:00","13:37:00","33.0",1,1,1,"Mike","","","Wed"
69,"Male","1990-12-12 00:00:00","33.0","Premium","1.0",1,"09:04:00","09:47:00","43.0",1,"","","","Zumba","passion_fruit","Wed"
70,"Female","1988-08-01 00:00:00","36.0","Premium","3.0","","11:11:00","13:56:00","165.0","","",1,"","","","Fri"
70,"Female","1988-08-01 00:00:00","36.0","Premium","3.0","","11:11:00","13:56:00","165.0","","",1,"","","","Sun"
70,"Female","1988-08-01 00:00:00","36.0","Premium","3.0","","11:11:00","13:56:00","165.0","","",1,"","","","Tue"
71,"Male","1994-09-21 00:00:00","30.0","Premium","5.0",1,"13:04:00","13:58:00","54.0","",1,1,"Hanna","BodyPump","","Fri"
71,"Male","1994-09-21 00:00:00","30.0","Premium","5.0",1,"13:04:00","13:58:00","54.0","",1,1,"Hanna","","","Mon"
71,"Male","1994-09-21 00:00:00","30.0","Premium","5.0",1,"13:04:00","13:58:00","54.0","",1,1,"Hanna","","","Sat"
71,"Male","1994-09-21 00:00:00","30.0","Premium","5.0",1,"13:04:00","13:58:00","54.0","",1,1,"Hanna","","","Sun"
71,"Male","1994-09-21 00:00:00","30.0","Premium","5.0",1,"13:04:00","13:58:00","54.0","",1,1,"Hanna","","","Tue"
72,"Male","2007-03-13 00:00:00","17.0","Premium","1.0","","10:30:00","13:27:00","177.0",1,1,1,"Mike","","black_currant","Wed"
73,"Male","1988-12-31 00:00:00","35.0","Premium","2.0","","17:06:00","18:39:00","93.0",1,1,"","Chantal","","berry_boost","Mon"
73,"Male","1988-12-31 00:00:00","35.0","Premium","2.0","","17:06:00","18:39:00","93.0",1,1,"","Chantal","","","Tue"
74,"Male","1995-12-16 00:00:00","28.0","Standard","2.0","","20:17:00","23:03:00","166.0",1,"",1,"","","passion_fruit","Fri"
74,"Male","1995-12-16 00:00:00","28.0","Standard","2.0","","20:17:00","23:03:00","166.0",1,"",1,"","","","Sun"
